site_url,country_id,avail
http://dnrsovet.su,ua2,True
http://dokuchaevskga.ucoz.org,kz1,True
http://dokuchaevskga.ucoz.org,at1,True
http://dokuchaevskga.ucoz.org,ru1,True
http://dokuchaevskga.ucoz.org,ua2,True
http://dokuchaevskga.ucoz.org,ru2,True
http://dokuchaevskga.ucoz.org,lt1,True
http://dokuchaevskga.ucoz.org,us2,True
http://dokuchaevskga.ucoz.org,hk1,True
http://dokuchaevskga.ucoz.org,ir1,False
http://dokuchaevskga.ucoz.org,md1,True
http://dokuchaevskga.ucoz.org,de4,True
http://dokuchaevskga.ucoz.org,ua1,False
http://dokuchaevskga.ucoz.org,ca1,True
http://dokuchaevskga.ucoz.org,nl1,True
http://dokuchaevskga.ucoz.org,it2,True
http://dokuchaevskga.ucoz.org,au1,True
http://dokuchaevskga.ucoz.org,ch1,True
http://dokuchaevskga.ucoz.org,us1,True
http://dokuchaevskga.ucoz.org,tr1,True
http://dokuchaevskga.ucoz.org,fr2,True
http://dokuchaevskga.ucoz.org,pt1,True
http://doncsm.ru,ca1,True
http://doncsm.ru,nl1,True
http://doncsm.ru,it2,True
http://doncsm.ru,ua1,True
http://doncsm.ru,de4,True
http://doncsm.ru,ch1,True
http://doncsm.ru,au1,True
http://doncsm.ru,pt1,True
http://doncsm.ru,tr1,True
http://doncsm.ru,fr2,True
http://doncsm.ru,us1,True
http://doncsm.ru,ru1,True
http://doncsm.ru,kz1,True
http://doncsm.ru,at1,True
http://doncsm.ru,ru2,True
http://doncsm.ru,ua2,True
http://doncsm.ru,ir1,True
http://doncsm.ru,hk1,True
http://doncsm.ru,us2,True
http://doncsm.ru,lt1,True
http://doncsm.ru,md1,True
http://donmarkets.ru,nl1,True
http://donmarkets.ru,it2,True
http://donmarkets.ru,ca1,True
http://donmarkets.ru,ua1,True
http://donmarkets.ru,de4,True
http://donmarkets.ru,ch1,True
http://donmarkets.ru,au1,True
http://donmarkets.ru,pt1,True
http://donmarkets.ru,tr1,True
http://donmarkets.ru,fr2,True
http://donmarkets.ru,us1,True
http://donmarkets.ru,ru1,True
http://donmarkets.ru,kz1,True
http://donmarkets.ru,at1,True
http://donmarkets.ru,ru2,True
http://donmarkets.ru,ua2,True
http://donmarkets.ru,ir1,True
http://donmarkets.ru,hk1,True
http://donmarkets.ru,us2,True
http://donmarkets.ru,lt1,True
http://donmarkets.ru,md1,True
http://donmintrans.ru,de4,True
http://donmintrans.ru,ua1,False
http://donmintrans.ru,ca1,True
http://donmintrans.ru,it2,True
http://donmintrans.ru,nl1,True
http://donmintrans.ru,au1,True
http://donmintrans.ru,ch1,True
http://donmintrans.ru,us1,True
http://donmintrans.ru,fr2,True
http://donmintrans.ru,tr1,True
http://donmintrans.ru,pt1,True
http://donmintrans.ru,at1,True
http://donmintrans.ru,kz1,True
http://donmintrans.ru,ru1,True
http://donmintrans.ru,ua2,True
http://donmintrans.ru,ru2,True
http://donmintrans.ru,lt1,True
http://donmintrans.ru,us2,True
http://donmintrans.ru,ir1,True
http://donmintrans.ru,hk1,True
http://donmintrans.ru,md1,True
http://economy.council.gov.ru,md1,False
http://economy.council.gov.ru,ir1,False
http://economy.council.gov.ru,hk1,False
http://economy.council.gov.ru,us2,False
http://economy.council.gov.ru,lt1,False
http://economy.council.gov.ru,ru2,False
http://economy.council.gov.ru,ua2,False
http://economy.council.gov.ru,ru1,False
http://economy.council.gov.ru,kz1,False
http://economy.council.gov.ru,at1,False
http://economy.council.gov.ru,pt1,False
http://economy.council.gov.ru,fr2,False
http://economy.council.gov.ru,tr1,False
http://economy.council.gov.ru,us1,False
http://economy.council.gov.ru,ch1,False
http://economy.council.gov.ru,au1,False
http://economy.council.gov.ru,nl1,False
http://economy.council.gov.ru,ca1,False
http://economy.council.gov.ru,it2,False
http://economy.council.gov.ru,ua1,False
http://economy.council.gov.ru,de4,False
http://duma.gov.ru/duma/council,ir1,False
http://duma.gov.ru/duma/council,hk1,False
http://duma.gov.ru/duma/council,lt1,False
http://duma.gov.ru/duma/council,us2,False
http://duma.gov.ru/duma/council,md1,False
http://duma.gov.ru/duma/council,ru1,False
http://duma.gov.ru/duma/council,at1,False
http://duma.gov.ru/duma/council,kz1,False
http://duma.gov.ru/duma/council,ru2,False
http://duma.gov.ru/duma/council,ua2,False
http://duma.gov.ru/duma/council,ch1,False
http://duma.gov.ru/duma/council,au1,False
http://duma.gov.ru/duma/council,pt1,False
http://duma.gov.ru/duma/council,us1,False
http://duma.gov.ru/duma/council,tr1,False
http://duma.gov.ru/duma/council,fr2,False
http://duma.gov.ru/duma/council,ua1,False
http://duma.gov.ru/duma/council,nl1,False
http://duma.gov.ru/duma/council,ca1,False
http://duma.gov.ru/duma/council,it2,False
http://duma.gov.ru/duma/council,de4,False
http://econri.org,de4,True
http://econri.org,ca1,True
http://econri.org,nl1,True
http://econri.org,it2,True
http://econri.org,ua1,True
http://econri.org,au1,True
http://econri.org,ch1,True
http://econri.org,fr2,True
http://econri.org,tr1,True
http://econri.org,us1,True
http://econri.org,pt1,True
http://econri.org,kz1,True
http://econri.org,at1,True
http://econri.org,ru1,True
http://econri.org,ua2,True
http://econri.org,ru2,True
http://econri.org,us2,True
http://econri.org,lt1,True
http://econri.org,hk1,True
http://econri.org,ir1,True
http://econri.org,md1,True
http://fpdnr.ru,hk1,True
http://fpdnr.ru,ir1,True
http://fpdnr.ru,us2,True
http://fpdnr.ru,lt1,True
http://fpdnr.ru,md1,True
http://fpdnr.ru,ru1,True
http://fpdnr.ru,kz1,True
http://fpdnr.ru,at1,True
http://fpdnr.ru,ru2,True
http://fpdnr.ru,ua2,True
http://fpdnr.ru,ch1,True
http://fpdnr.ru,au1,True
http://fpdnr.ru,pt1,True
http://fpdnr.ru,tr1,True
http://fpdnr.ru,fr2,False
http://fpdnr.ru,us1,True
http://fpdnr.ru,nl1,True
http://fpdnr.ru,ca1,True
http://fpdnr.ru,it2,True
http://fpdnr.ru,ua1,True
http://fpdnr.ru,de4,True
http://fsdnr.com,ua2,True
http://fsdnr.com,ru2,True
http://fsdnr.com,kz1,True
http://fsdnr.com,at1,True
http://fsdnr.com,ru1,True
http://fsdnr.com,md1,True
http://fsdnr.com,us2,True
http://fsdnr.com,lt1,True
http://fsdnr.com,hk1,True
http://fsdnr.com,ir1,True
http://fsdnr.com,de4,True
http://fsdnr.com,it2,True
http://fsdnr.com,nl1,True
http://fsdnr.com,ca1,True
http://fsdnr.com,ua1,True
http://fsdnr.com,fr2,False
http://fsdnr.com,tr1,True
http://fsdnr.com,us1,True
http://fsdnr.com,pt1,True
http://fsdnr.com,au1,True
http://fsdnr.com,ch1,True
http://gazeta-dnr.ru,kz1,True
http://gazeta-dnr.ru,at1,True
http://gazeta-dnr.ru,ru1,True
http://gazeta-dnr.ru,ua2,True
http://gazeta-dnr.ru,ru2,True
http://gazeta-dnr.ru,lt1,True
http://gazeta-dnr.ru,us2,True
http://gazeta-dnr.ru,ir1,True
http://gazeta-dnr.ru,hk1,True
http://gazeta-dnr.ru,md1,True
http://gazeta-dnr.ru,de4,True
http://gazeta-dnr.ru,ua1,True
http://gazeta-dnr.ru,nl1,True
http://gazeta-dnr.ru,ca1,True
http://gazeta-dnr.ru,it2,True
http://gazeta-dnr.ru,au1,True
http://gazeta-dnr.ru,ch1,True
http://gazeta-dnr.ru,us1,True
http://gazeta-dnr.ru,tr1,True
